mu,Power.Tn,Power.Tn,Power.Tn,Power.Tn,Power.Tn
0,0.05,0.05,0.05,0.05,0.05
1,0.0607,0.0614,0.0623,0.0628,0.0688
2,0.0731,0.0747,0.0767,0.078,0.0927
3,0.0874,0.09,0.0936,0.0958,0.1222
4,0.1037,0.1076,0.1131,0.1165,0.1578
5,0.122,0.1276,0.1354,0.1402,0.1995
6,0.1426,0.15,0.1605,0.1669,0.2473
7,0.1653,0.1749,0.1884,0.1967,0.3006
8,0.1903,0.2023,0.2191,0.2296,0.3585
9,0.2174,0.2321,0.2526,0.2653,0.4199
10,0.2467,0.2642,0.2885,0.3036,0.4833
11,0.278,0.2984,0.3267,0.3442,0.5472
12,0.3111,0.3344,0.3668,0.3867,0.6098
13,0.3457,0.3721,0.4084,0.4306,0.6697
14,0.3818,0.411,0.4511,0.4754,0.7256
15,0.4188,0.4509,0.4943,0.5205,0.7763
16,0.4567,0.4912,0.5376,0.5653,0.8212
17,0.4949,0.5317,0.5805,0.6093,0.86
18,0.5331,0.5718,0.6224,0.6519,0.8926
19,0.5711,0.6111,0.663,0.6927,0.9194
20,0.6084,0.6494,0.7017,0.7313,0.9408
21,0.6447,0.6862,0.7383,0.7672,0.9574
22,0.6798,0.7213,0.7724,0.8003,0.9701
23,0.7133,0.7543,0.8038,0.8304,0.9794
24,0.7451,0.7851,0.8325,0.8575,0.9862
25,0.7749,0.8135,0.8583,0.8814,0.9909
26,0.8026,0.8395,0.8813,0.9024,0.9942
27,0.8282,0.863,0.9015,0.9205,0.9964
28,0.8516,0.884,0.9191,0.9359,0.9978
29,0.8727,0.9026,0.9342,0.9489,0.9987
30,0.8916,0.9189,0.947,0.9597,0.9992
31,0.9084,0.9331,0.9577,0.9686,0.9996
32,0.9232,0.9453,0.9667,0.9758,0.9998
